
Dataset,# Training,TrainingSet Size,TestSet Size,% Training,% Defect Training,%Defect Testing,Classifier,Balancing,FeatureSelection,TP,FP,TN,FN,Precision,Recall,ROC Area,Kappa,Accuracy
storm,8,20472,2559,0.8888888888888888,0.07698319656115671,0.45212973817897617,IBk,No sampling,False,0.9775280898876404,0.11697574893009986,0.8830242510699001,0.02247191011235955,0.8733590733590734,0.9775280898876404,0.9419529083652567,0.851676521138559,0.9257522469714732
storm,8,20472,2559,0.8888888888888888,0.07698319656115671,0.45212973817897617,NB,No sampling,False,0.9991356957649092,0.1362339514978602,0.8637660485021398,8.64304235090752E-4,0.858203414996288,0.9991356957649092,0.9318241504604485,0.8506954890302535,0.9249706916764361
storm,8,20472,2559,0.8888888888888888,0.07698319656115671,0.45212973817897617,Cost Sensitive,No sampling,False,0.8323249783923942,0.010699001426533523,0.9893009985734664,0.1676750216076059,0.9846625766871165,0.8323249783923942,0.9829392385492018,0.8328847918664481,0.8655724892536147
storm,8,20472,2559,0.8888888888888888,0.07698319656115671,0.45212973817897617,RF,Under sampling,False,1.0,0.1362339514978602,0.8637660485021398,0.0,0.8583086053412463,1.0,0.985411629515558,0.8514841737660295,0.9253614693239547
storm,8,20472,2559,0.8888888888888888,0.07698319656115671,0.45212973817897617,IBk,Under sampling,False,0.9956784788245462,0.12696148359486448,0.8730385164051355,0.00432152117545376,0.8661654135338346,0.9956784788245462,0.9384744228827321,0.8575137991604123,0.9284876905041032
storm,8,20472,2559,0.8888888888888888,0.07698319656115671,0.45212973817897617,NB,Under sampling,False,0.9991356957649092,0.1362339514978602,0.8637660485021398,8.64304235090752E-4,0.858203414996288,0.9991356957649092,0.9318241504604485,0.8506954890302535,0.9249706916764361
storm,8,20472,2559,0.8888888888888888,0.07698319656115671,0.45212973817897617,Cost Sensitive,Under sampling,False,0.8245462402765773,0.024964336661911554,0.9750356633380884,0.17545375972342264,0.9646107178968655,0.8245462402765773,0.9781257667463569,0.8098566749129272,0.7838999609222352
storm,8,20472,2559,0.8888888888888888,0.07698319656115671,0.45212973817897617,RF,Over sampling,False,0.993085566119274,0.03851640513552068,0.9614835948644793,0.006914433880726016,0.9551122194513716,0.993085566119274,0.995594329375124,0.951264599148886,0.9757717858538492
storm,8,20472,2559,0.8888888888888888,0.07698319656115671,0.45212973817897617,IBk,Over sampling,False,0.9818496110630942,0.11911554921540657,0.8808844507845934,0.018150388936905792,0.8718342287029931,0.9818496110630942,0.9435178415327159,0.8533255203204392,0.9265338022665104
storm,8,20472,2559,0.8888888888888888,0.07698319656115671,0.45212973817897617,NB,Over sampling,False,0.9991356957649092,0.1362339514978602,0.8637660485021398,8.64304235090752E-4,0.858203414996288,0.9991356957649092,0.9318241504604485,0.8506954890302535,0.9249706916764361
storm,8,20472,2559,0.8888888888888888,0.07698319656115671,0.45212973817897617,Cost Sensitive,Over sampling,False,0.8997407087294728,0.029957203994293864,0.9700427960057061,0.10025929127052723,0.961218836565097,0.8997407087294728,0.9433486179146472,0.8746715071891803,0.7905431809300508
storm,8,20472,2559,0.8888888888888888,0.07698319656115671,0.45212973817897617,RF,Smote,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,NaN
storm,8,20472,2559,0.8888888888888888,0.07698319656115671,0.45212973817897617,IBk,Smote,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,NaN
storm,8,20472,2559,0.8888888888888888,0.07698319656115671,0.45212973817897617,NB,Smote,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,NaN
storm,8,20472,2559,0.8888888888888888,0.07698319656115671,0.45212973817897617,Cost Sensitive,Smote,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,NaN
storm,9,23031,2559,0.9,0.11866614562980331,0.008206330597889801,RF,No sampling,False,0.9523809523809523,0.001970055161544523,0.9980299448384555,0.047619047619047616,0.8,0.9523809523809523,0.9994840331719764,0.8683912775149135,0.9976553341148886
