@relation storm

@attribute NumberRevisions real
@attribute NumberAuthors real
@attribute LOC real
@attribute AGE real
@attribute CHURN real
@attribute LOC_TOUCHED real
@attribute AvgLocAdded real
@attribute MaxLocAdded real
@attribute AvgChgSet real
@attribute MaxChgSet real
@attribute numImports real
@attribute numComments real
@attribute Buggy {Yes, No}

@data
4,3,88,41,0,12,0,0,110,266,68,76,No
5,2,289,12,1156,1158,231,289,66,266,125,170,No
4,2,143,12,572,572,143,143,82,266,60,68,No
4,2,81,12,324,324,81,81,82,266,36,196,No
4,2,132,12,528,528,132,132,82,266,64,68,No
4,2,146,12,584,584,146,146,82,266,16,72,No
4,2,76,12,304,304,76,76,82,266,36,72,No
4,2,420,12,1680,1680,420,420,82,266,60,288,No
4,2,306,12,1224,1224,306,306,82,266,112,152,No
4,2,31,12,124,124,31,31,82,266,28,0,No
4,2,14,12,56,56,14,14,82,266,16,0,No
4,2,220,12,880,880,220,220,82,266,128,96,No
4,2,150,12,600,600,150,150,82,266,60,80,No
4,2,153,12,612,612,153,153,82,266,64,80,No
4,2,330,12,1320,1320,330,330,82,266,148,136,No
4,2,193,12,772,772,193,193,82,266,124,84,No
4,2,190,12,760,760,190,190,82,266,76,72,No
2,2,57,9,114,114,57,57,216,266,18,34,No
2,2,71,5,142,142,71,71,216,266,16,44,No
2,2,76,8,152,152,76,76,216,266,16,40,No
2,2,111,9,222,222,111,111,216,266,2,94,No
2,2,228,7,456,456,228,228,216,266,24,38,No
4,3,74,9,151,155,37,75,109,266,20,68,No
2,2,26,9,52,52,26,26,216,266,10,22,No
2,2,33,9,66,66,33,33,216,266,8,44,No
2,2,46,9,92,92,46,46,216,266,14,0,No
2,2,92,9,184,184,92,92,216,266,20,34,No
2,2,40,9,80,80,40,40,216,266,10,34,No
2,2,145,9,290,290,145,145,216,266,36,34,No
2,2,40,9,80,80,40,40,216,266,8,34,No
2,2,32,9,64,64,32,32,216,266,8,34,No
2,2,88,9,176,176,88,88,216,266,24,46,No
3,2,69,2,207,207,69,69,90,266,18,57,No
2,2,90,9,180,180,90,90,216,266,16,36,No
2,2,106,9,212,212,106,106,216,266,34,42,No
2,2,48,9,96,96,48,48,216,266,8,36,No
2,2,61,9,122,122,61,61,216,266,28,34,No
3,3,167,15,0,3,0,0,89,266,15,117,No
16,4,243,49,0,65,0,0,5,32,384,288,Yes
5,3,276,48,-4,18,0,1,95,266,80,124,No
3,2,25,4,75,75,25,25,15,32,0,51,Yes
11,1,23,14,9,44,1,3,3,3,0,187,Yes
4,3,115,48,-4,28,3,3,68,266,64,112,No
1,1,48,22,0,1,0,0,36,36,1,18,Yes
14,2,274,39,-12,170,0,1,5,32,337,605,Yes
3,2,241,39,0,3,0,0,15,32,60,51,Yes
4,3,188,48,0,4,0,0,68,266,108,72,No
2,2,67,10,134,134,67,67,216,266,18,34,No
2,2,27,10,54,54,27,27,216,266,4,34,No
